policy_id,country,type,gov_policy,detail,start_date,end_date,color
72,Korea,Administrative,Strengthen self-qurantine,Introducing self-isolation app and GIS status board. applying the principle of zero tolerance for unauthorized departure,2020-07-07,,r
73,Korea,Immigration,Management plan for overseas immigrants,Mandatory submission of PCR negative confirmation,2020-07-13,,m
74,Jeollanam-do,Administrative,Prevention measures for tourist attractions such as beaches,Entry is possible only by wearing a wristband after heating check,2020-07-19,,y
75,Korea,Administrative,Resumption of public facilities,in the metropolitan area,2020-07-20,,g
76,Chungcheongnam-do,Administrative,Prevention measures for tourist attractions such as beaches,Entry is possible only by wearing a wristband after heating check,2020-08-01,,y
77,Korea,Transformation,Mandatory submission of PCR negative confirmation,Countries subject to strengthening quarantine and Russian ships,2020-08-03,,m
78,Korea,Administrative,Strengthening quarantine,Electronic access list (KI-Pass) and thermal imaging camera at the entrance (Reinforcement plan for quarantine management at funeral homes),2020-08-19,,r
79,Korea,Administrative,Strengthening quarantine,Additional designation as a high-risk facility (Measures to strengthen quarantine management at wedding halls),2020-08-19,,r
80,Seoul,Social,Social Distancing Campaign,Level 2,2020-08-16,,r
81,Korea,Administrative,Social Distancing Campaign,50 indoor and 100 outdoor gatherings prohibited,2020-08-19,,r
82,Korea,Administrative,Measures to strengthen inspection of door-to-door vendors,Conduct inspection and reporting system for illegal door-to-door sales activities,2020-08-19,2020-09-11,r
83,Seoul,Administrative,All gatherings of 10 or more are prohibited,Organizers and participants who violate the assembly ban shall be accused,2020-08-21,2020-08-30,r
84,Korea,Education,Online learning support,Non-face-to-face religious activities and online learning support for elementary. middle and high schools,2020-08-22,2020-10-31,r
85,Korea,Administrative,Strong administrative measures,In case of rejection of inspection and investigation,2020-08-21,,r
86,Korea,Social,Social Distancing Campaign,Level 2,2020-08-23,,r
87,Korea,Administrative,Wearing of masks,Mandatory wearing masks (Detail of Social Distancing Campaign),2020-08-25,,r
88,Korea,Social,Social Distancing Campaign,Level 2.5,2020-08-26,2020-09-13,r
